star_name,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,eirp_5sigma_W,rms_mJy,star_snr,ctrl_max_snr,n_ctrl_ge_star,n_ctrl,p_star_empirical,drift_max_Hz_s,on_source_s,resolution_class,nearest_line,line_offset_MHz,flagged_symmetric
HD 10647,6,A002_Xb39557_X3789,17.349,246.12212,247.8565,15625000.0,1750000000.0,1.976e+15,0.7022,2.402,4.63,299,512,0.5848,2963.9,520.1,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),2717.372,0
HD 10647,6,A002_Xb39557_X3789,17.349,231.4498,229.62168,15625000.0,1843750000.0,2.835e+12,0.001007,2.702,4.619,198,512,0.38791,2766.4,12.1,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),458.679,0
HD 10647,6,A002_Xb39557_X3789,17.349,231.39829,229.67319,488281.25,1725585937.5,3.611e+14,4.107,4.317,5.254,97,512,0.19103,2766.4,393.1,fine (<1 MHz),CO(2-1),357.36,0
HD 10647,7,A002_Xcf0c6b_X6513,17.349,346.81592,348.5503,15625000.0,1750000000.0,8.917e+14,0.3169,2.446,4.513,407,512,0.79532,4172.2,3278.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),1441.795,0
HD 10647,7,A002_Xcf0c6b_X6513,17.349,336.5503,334.81592,15625000.0,1750000000.0,7.658e+14,0.2722,3.089,4.181,127,512,0.24951,4028.2,3278.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-9276.955,0
HD 10647,7,A002_Xcf0c6b_X6513,17.349,334.6548,332.92042,15625000.0,1750000000.0,8.773e+14,0.3118,1.756,4.418,511,512,0.99805,4005.5,3278.0,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(3-2),-11313.08,0
HD 10647,7,A002_Xcf0c6b_X6513,17.349,344.92506,346.65016,488281.25,1725585937.5,1.489e+14,1.694,4.342,5.976,421,512,0.82261,4149.5,2389.0,fine (<1 MHz),CO(3-2),96.832,0
HD 10647,7,A002_Xff294f_X2db6,17.349,332.19107,330.35074,488281.25,1840820312.5,1.973e+15,22.45,5.394,5.929,8,512,0.017544,3975.3,2630.9,fine (<1 MHz),,,0
g Lup,6,A002_Xb2e94e_X361a,17.399,244.14172,245.8761,15625000.0,1750000000.0,1.262e+15,0.4459,2.479,4.357,266,512,0.52047,2940.1,520.1,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),611.972,0
g Lup,6,A002_Xb2e94e_X361a,17.399,246.14179,247.87617,15625000.0,1750000000.0,1.43e+15,0.5052,2.451,4.224,274,512,0.53606,2964.1,520.1,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CS(5-4),1658.919,0
g Lup,6,A002_Xb2e94e_X361a,17.399,231.46882,229.64069,15625000.0,1843750000.0,2.79e+12,0.000986,2.27,4.494,356,512,0.69591,2766.7,12.1,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(2-1),-366.055,0
g Lup,6,A002_Xb2e94e_X361a,17.399,231.41731,229.69221,488281.25,1725585937.5,2.548e+14,2.881,4.118,5.561,192,512,0.37622,2766.7,393.1,fine (<1 MHz),CO(2-1),-478.604,0
eta Crv,7,A002_X11e10bc_X12662,18.244,344.20768,342.48258,488281.25,1725585937.5,1.472e+14,1.514,4.89,5.563,114,512,0.22417,4120.1,2842.6,fine (<1 MHz),CO(3-2),-2456.484,0
eta Crv,7,A002_X11e10bc_X12662,18.244,345.82205,345.76816,61035.15625,53955078.125,4.363e+13,3.59,4.828,6.14,223,512,0.43665,4149.5,2842.6,fine (<1 MHz),CO(3-2),15.004,0
eta Crv,7,A002_X11e10bc_X12662,18.244,354.31558,356.04068,488281.25,1725585937.5,1.6e+14,1.646,4.531,5.836,340,512,0.66472,4262.1,2842.6,fine (<1 MHz),CO(3-2),9699.758,0
eta Crv,7,A002_X11e10bc_X12662,18.244,356.19058,357.91568,488281.25,1725585937.5,1.802e+14,1.853,4.236,5.843,499,512,0.97466,4284.6,2842.6,fine (<1 MHz),CO(3-2),11158.742,0
eta Crv,8,A002_X12277ed_X22e53,18.244,481.1675,479.33938,15625000.0,1843750000.0,6.08e+16,19.54,2.782,4.579,281,512,0.54971,5763.0,3072.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(4-3),19189.003,0
eta Crv,8,A002_X12277ed_X22e53,18.244,483.063,481.23488,15625000.0,1843750000.0,6.125e+16,19.69,2.781,4.287,282,512,0.55166,5785.8,3072.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(4-3),21787.628,0
eta Crv,8,A002_X12277ed_X22e53,18.244,493.29738,495.1255,15625000.0,1843750000.0,7.101e+16,22.83,2.48,4.714,420,512,0.82066,5930.5,3072.4,"coarse (>5 MHz, continuum-mode -- weak technosignature constraint)",CO(4-3),33537.628,0
eta Crv,8,A002_X12277ed_X22e53,18.244,492.18596,492.23985,61035.15625,53955078.125,3.164e+15,260.3,4.829,5.926,234,512,0.45809,5906.6,2056.3,fine (<1 MHz),CO(4-3),31159.607,0
