star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.951,9.75852,3.090701e+13,2904.0000,4,coarse,2.3043,4.5562,512,450,0.879142,CS(5-4),-2818.8144,-3491.98,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.78568,8.93113,2.828652e+13,2688.0000,4,coarse,3.6782,4.4273,512,16,0.033138,13CO(2-1),3952.5644,5289.95,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.69437,8.4745,2.684028e+13,2712.0000,4,coarse,2.8142,4.7273,512,230,0.450292,13CO(2-1),4686.9394,6217.30,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.87404,9.37354,2.968769e+13,2880.0000,4,coarse,3.0898,4.1769,512,127,0.249513,CS(5-4),-5443.8144,-6800.06,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.96372,9.82213,3.110846e+13,2904.0000,4,coarse,2.7862,4.3567,512,221,0.432749,CS(5-4),-2084.4394,-2582.23,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.97798,9.89291,3.133265e+13,2688.0000,4,coarse,3.2902,4.3947,512,56,0.111111,13CO(2-1),2718.1894,3637.91,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.8756,9.3809,2.971101e+13,2712.0000,4,coarse,2.4276,4.1408,512,400,0.781676,CO(2-1),-4092.6856,-5429.01,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.08292,10.4182,3.299633e+13,2880.0000,4,coarse,1.9318,4.8829,512,506,0.988304,CS(5-4),-4428.1894,-5531.41,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.17651,10.8864,3.447919e+13,2904.0000,4,coarse,2.2802,4.3383,512,450,0.879142,CS(5-4),-3740.6894,-4634.01,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.85261,9.26586,2.934667e+13,2688.0000,4,coarse,2.3306,4.5846,512,449,0.877193,13CO(2-1),3515.0644,4704.42,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.73747,8.69002,2.752286e+13,2712.0000,4,coarse,2.6975,4.8314,512,254,0.497076,CO(2-1),-3780.1856,-5014.47,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.93056,9.65616,3.058280e+13,2880.0000,4,coarse,2.6926,4.3593,512,282,0.551657,CS(5-4),-4459.4394,-5570.44,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.029,10.1486,3.214238e+13,2904.0000,4,coarse,2.5361,4.3921,512,361,0.705653,CS(5-4),-2193.8144,-2717.72,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106f040_X26c7,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.60058,8.00534,2.535436e+13,2688.0000,4,coarse,2.5430,4.5858,512,337,0.658869,13CO(2-1),2983.8144,3993.42,False,False,searched,
