star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,eirp_eff_total_W,c_response_smear,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,star_snr_regionmax,stage1_flag_regionmax,n_ctrl,n_ctrl_ge_star,p_rank_addone,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,2975,2.16675,10.84388,3.434452e+13,6.868903e+13,9.158538e+13,7.850175e+13,2.2857,2688.0000,3.598,4,0.5159,1.0000,coarse,B,2.8920,4.4252,3.3640,False,512,192,0.376218,223.148439,13CO(2-1),2749.4394,3739.859,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2796.19,,1.62490,8.13170,2.575455e+13,5.150911e+13,6.867881e+13,5.886755e+13,2.2857,2688.0000,3.598,4,0.481,,coarse,B,2.4487,4.6572,3.0846,False,512,415,0.810916,,13CO(2-1),4343.1894,5907.719,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.05148,10.26692,3.251718e+13,6.503437e+13,8.671249e+13,7.432499e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.1123,4.4538,2.6999,False,512,504,0.984405,,13CO(2-1),3686.9394,5015.071,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107376c_X12b9,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.56876,12.85516,4.071462e+13,8.142925e+13,1.085723e+14,9.306200e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.3516,4.8623,3.2037,False,512,458,0.894737,,13CO(2-1),4483.8144,6099.001,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X13932,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.95470,9.78219,3.098196e+13,6.196392e+13,8.261855e+13,7.081590e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,3.5114,4.5443,3.7107,False,512,36,0.072125,,13CO(2-1),2718.1894,3697.352,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X1426f,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.84915,9.25396,2.930896e+13,5.861792e+13,7.815723e+13,6.699191e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.5482,4.2034,3.0781,False,512,389,0.760234,,13CO(2-1),3218.1894,4377.465,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106f040_X148f3,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.83055,9.16092,2.901430e+13,5.802859e+13,7.737145e+13,6.631839e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.6135,4.6307,3.2334,False,512,354,0.692008,,13CO(2-1),3515.0644,4781.282,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X167,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.63841,8.19927,2.596856e+13,5.193712e+13,6.924949e+13,5.935671e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.8947,4.8278,3.1655,False,512,182,0.356725,,13CO(2-1),3249.4394,4419.972,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,2.01420,10.08033,3.192624e+13,6.385248e+13,8.513664e+13,7.297426e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.8059,4.4986,3.4452,False,512,231,0.452242,,13CO(2-1),3640.0644,4951.310,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.61677,8.09125,2.562644e+13,5.125288e+13,6.833717e+13,5.857472e+13,2.2857,2688.0000,3.598,4,0.5159,,coarse,B,2.9466,5.0836,3.1967,False,512,189,0.370370,,13CO(2-1),4171.3144,5673.930,star,28.066,3.929,21.891,512,20260825,False,False,
