star_name,system_id,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_int,rms_mJy,smin_mJy,eirp_nominal_W,eirp_hanning_centred_W,eirp_hanning_worst_W,eirp_eff_total_W,c_response_smear,eirp_p90_W,eirp_p90_sel_W,eirp_p90_lo_W,eirp_p90_hi_W,drift_max_Hz_s,a_max_m_s2,n_drift_trials,eta_drift,eta_smear,resolution_class,search_class,star_snr,ctrl_max_snr,star_snr_regionmax,stage1_flag_regionmax,n_ctrl,n_ctrl_ge_star,p_rank_addone,p_rank_local,stage1_flag_local,f_cross_GHz,nearest_line,line_offset_MHz,line_offset_kms,ring_centre,theta_pb_arcsec,r_in_arcsec,r_out_arcsec,n_control,ring_seed,crossing,stage1_flag,disposition
Proxima Cen,Proxima Cen,6,A002_X106f040_X2e59,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.62737,8.13933,2.577872e+13,5.155744e+13,6.874325e+13,5.892278e+13,2.2857,1.065520e+14,1.173852e+14,1.119975e+14,1.213075e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.8396,4.5753,3.7969,False,512,188,0.368421,0.300195,False,224.570314,13CO(2-1),4171.3144,5673.930,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1074d99_X74e,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.76321,8.81868,2.793036e+13,5.586073e+13,7.448097e+13,6.384083e+13,2.2857,1.154455e+14,1.271829e+14,1.213455e+14,1.314326e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.2513,4.1576,2.8425,False,512,456,0.890838,0.943470,False,224.507814,13CO(2-1),4108.8144,5588.916,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X868f,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.81295,9.06747,2.871832e+13,5.743665e+13,7.658219e+13,6.564188e+13,2.2857,1.187024e+14,1.307709e+14,1.247688e+14,1.351405e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.2810,4.8284,3.5148,False,512,462,0.902534,0.949318,False,223.882814,13CO(2-1),3483.8144,4738.775,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X107649f_X8f30,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.95390,9.77242,3.095103e+13,6.190207e+13,8.253609e+13,7.074522e+13,2.2857,1.279309e+14,1.409377e+14,1.344690e+14,1.456470e+14,2688.0000,3.598,4,0.5159,,coarse,B,3.8633,4.1645,4.0099,False,512,5,0.011696,0.003899,False,224.289064,13CO(2-1),3890.0644,5291.367,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.64073,8.20611,2.599023e+13,5.198046e+13,6.930728e+13,5.940624e+13,2.2857,1.074263e+14,1.183484e+14,1.129164e+14,1.223029e+14,2688.0000,3.598,4,0.5159,,coarse,B,3.7006,4.5440,4.1691,False,512,25,0.050682,0.124756,False,224.148439,13CO(2-1),3749.4394,5100.085,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.34271,6.71556,2.126940e+13,4.253880e+13,5.671840e+13,4.861577e+13,2.2857,8.791352e+13,9.685173e+13,9.240643e+13,1.000879e+14,2688.0000,3.598,4,0.5159,,coarse,B,2.7672,4.5622,3.7504,False,512,251,0.491228,0.580897,False,224.398439,13CO(2-1),3999.4394,5440.142,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.75529,8.77916,2.780519e+13,5.561039e+13,7.414718e+13,6.355473e+13,2.2857,1.149281e+14,1.266129e+14,1.208017e+14,1.308436e+14,2688.0000,3.598,4,0.5159,,coarse,B,3.0140,4.4101,3.4479,False,512,150,0.294347,0.302144,False,224.898439,13CO(2-1),4499.4394,6120.255,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,223.085939,224.914064,15625000.0000,1828125000.0,2998.80,,1.78568,8.93113,2.828652e+13,5.657304e+13,7.543072e+13,6.465491e+13,2.2857,1.169176e+14,1.288047e+14,1.228928e+14,1.331086e+14,2688.0000,3.598,4,0.5159,,coarse,B,3.6782,4.4273,4.0336,False,512,16,0.033138,0.025341,False,224.351564,13CO(2-1),3952.5644,5376.381,star,28.066,3.929,21.891,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2998.80,2975,2.10687,10.53778,3.337505e+13,6.675011e+13,8.900014e+13,7.628584e+13,2.2857,1.379502e+14,1.519757e+14,1.450003e+14,1.570538e+14,2712.0000,3.598,4,0.5205,1.0000,coarse,B,2.9657,4.3316,3.5037,False,512,150,0.294347,0.235867,False,226.132814,CO(2-1),-4405.1856,-5728.519,star,27.817,3.894,21.698,512,20260825,False,False,
Proxima Cen,Proxima Cen,6,A002_X1076174_X11cc,1.3016,225.085939,226.914064,15625000.0000,1828125000.0,2797.20,,1.54186,7.71165,2.442418e+13,4.884835e+13,6.513114e+13,5.582669e+13,2.2857,1.009533e+14,1.112172e+14,1.061126e+14,1.149335e+14,2712.0000,3.598,4,0.4855,,coarse,B,3.7694,4.4672,4.0406,False,512,11,0.023392,0.015595,False,226.023439,CO(2-1),-4514.5606,-5870.751,star,27.817,3.894,21.698,512,20260825,False,False,
