rank,name,ra,dec,dist_pc,pmra,pmdec,alma_bands,gmag,teff,is_exo_host,n_planets,source,status,orig_rank,gaia_source_id
1,Proxima Cen,217.39232147200883,-62.67607511676666,1.3015802655852167,-3781.741008265163,769.4650146478623,6,8.984748840332031,2864.6771240234375,True,2,top100,needs_redo,12,
2,NAME Barnard's star,269.44850252543836,4.739420051112412,1.828233981355542,-801.5509783684709,10362.394206546573,7,8.193974494934082,3099.633544921875,,,new20pc,needs_redo,1,
3,Wolf  359,164.10319030755974,7.002726940984864,2.408597252748958,-3866.3382751436793,-2699.214987679166,7,11.03839111328125,,,,new20pc,needs_redo,2,
4,* alf CMa B,101.28662552099249,-16.720932526023173,2.6703012063129745,-461.570505530133,-914.5196209016666,"3,4,5",8.52413272857666,,,,new20pc,needs_redo,3,
5,G 272-61B,24.771674208211856,-17.947682860008488,2.674910296032687,3178.6942575748953,584.0613350385156,3,10.817837715148926,,,,new20pc,needs_redo,4,
6,G 272-61A,24.771554293454546,-17.948299887129313,2.7195203918735054,3385.315810465071,544.3863845619521,3,10.50754165649414,,,,new20pc,needs_redo,5,
7,CD-23 14742,282.4587890175222,-23.83709744872712,2.9759548649868903,639.367850335873,-193.95792507116096,6,9.12641429901123,3117.3759765625,,,new20pc,needs_redo,6,
8,eps Eri,53.22829341517546,-9.458168216292322,3.219810408490127,-974.758145249517,20.875840089774208,6,3.465751886367798,5011.2117285156255,True,1,top100,needs_redo,11,
9,tau Cet,26.009055057160104,-15.933680200693857,3.6521709611425766,-1721.7277944720731,854.9631570589582,6,3.3003997802734375,5310.0,True,3,top100,secure,1,
10,BD+05  1668,111.85462844259372,5.209382701706996,3.7860589303898693,571.2323467293181,-3691.4865653792745,6,8.576388359069824,3024.39501953125,,,new20pc,needs_redo,7,
11,NAME Teegarden's Star,43.26964247679057,16.86437381897744,3.831587320084787,3429.0828268077694,-3805.54112273733,6,12.263102531433105,,,,new20pc,needs_redo,8,
12,HD  33793,77.9599373502188,-45.0438126993602,3.9339320771222708,6491.223339061598,-5708.614150045243,6,8.063551902770996,3451.870361328125,,,new20pc,needs_redo,9,
13,SCR J1845-6357,281.29804386226,-63.96056736658412,4.005364851523573,2583.1897859953274,588.5041381022022,6,14.005345344543457,,,,new20pc,needs_redo,10,
14,Wolf   28,12.296740250462333,5.376556608426358,4.314436111908938,1231.3994653791733,-2711.8825044849837,"3,6",12.299162864685059,,,,new20pc,needs_redo,11,
15,G   3-33,30.058987047653364,13.044071201123836,4.4696315690373,1096.4584858968615,-1771.5261453794967,"3,6",10.681061744689941,,,,new20pc,needs_redo,12,
16,GJ 674,262.1701639221161,-46.89910489864381,4.550867586127579,572.5684618204186,-880.5826187621278,6,8.336430549621582,3437.487548828125,True,1,top100,secure,50,
17,G   9-38B,134.5586915113887,19.76257888198771,5.095231766067857,-937.1328356544882,-34.559036887716566,3,12.485569953918457,,,,new20pc,needs_redo,13,
18,G   9-38A,134.55918967906837,19.762959843487355,5.150807689920019,-767.0604915466433,-100.17647831567064,3,11.966279983520508,,,,new20pc,needs_redo,14,
19,GL 3379 (Gaia DR3 3316364602541746048),90.01597644159976,2.7063740799024933,5.207968173719361,309.14624371351175,-40.36843064589449,6,9.901327133178711,3138.287109375,False,0,top100,needs_redo,15,
20,LSR J1835+3259,278.90744884954285,32.994787158699616,5.688509718027581,-72.65040524928749,-755.1456226325628,3,14.850961685180664,,,,new20pc,needs_redo,15,
21,HN Lib,218.56843175696892,-12.516923853592898,6.25302694251758,-355.1381150377546,593.0401507540619,6,9.89498233795166,3173.5274658203125,True,1,top100,needs_redo,7,
22,GJ 581,229.85630133329227,-7.722707024157902,6.300471781360879,-1221.2776289653712,-97.22923861858034,6,9.42178726196289,3305.2032470703125,True,3,top100,secure,4,
23,Wolf  358,162.7129640681676,6.804489538122279,6.966744708517551,-856.2894965300052,-818.5834069021728,7,10.290781021118164,3000.728759765625,,,new20pc,needs_redo,16,
24,HD   4628,12.099107075154986,5.27553944692346,7.435229060298576,755.893500290751,-1141.719303057953,3,5.467689037322998,4859.28955078125,,,new20pc,needs_redo,17,
25,lp 876-10 (Gaia DR3 6623351805412369024),342.0203381724408,-24.369627417603155,7.676325777322197,331.60870305798755,-183.8049429101332,7,11.129232406616211,3000,False,0,top100,needs_redo,27,
26,HD 157881,261.43588748671016,2.1061577628793846,7.713318653486466,-580.3245900689788,-1184.7371121385918,6,6.934473037719727,,,,new20pc,needs_redo,18,
27,61 Vir,199.596298132351,-18.31592210064546,8.534415098502675,-1070.2015735200084,-1063.8486605375717,7,4.532528400421143,5577.0,True,3,top100,needs_redo,3,
28,EGGR 453,343.48356406407754,-6.784830206077555,8.5368779592979,2485.798830001822,-681.2536063218889,"3,7",15.421229362487793,,,,new20pc,needs_redo,19,
29,* chi01 Ori,88.59482419468164,20.275852148021837,8.699460211492765,-179.01353012437752,-90.72993621907472,3,4.24168586730957,5808.17919921875,,,new20pc,needs_redo,20,
30,GJ 849,332.4231515660494,-4.64083481515791,8.814865836983147,1132.5832654528356,-22.15730652565566,6,9.23719596862793,3348.3819580078125,True,2,top100,secure,6,
31,* gam Lep,86.11439122579156,-22.45002336420253,8.905034452470854,-291.75677673534847,-368.5208157670237,"6,7",3.476823091506958,6149.22314453125,,,new20pc,needs_redo,21,
32,LP  469-206,34.126686286501574,13.584959360471915,9.095044376447385,504.215607702792,-433.1428938279141,"3,6",13.555756568908691,,,,new20pc,needs_redo,22,
33,LP  469-67,30.56463581614585,10.335957901329609,9.237171918712672,-673.6390077894835,-280.5850526143878,"3,6",13.435259819030762,,,,new20pc,needs_redo,23,
34,HD 285968,70.73548173808452,18.953202926391814,9.485192669253934,656.6469583029074,-1116.5935413672632,6,9.004439353942871,3703.49,True,1,top100,secure,10,
35,G  42-24,148.4782397121578,20.948079178895128,9.545277410572863,-345.9726427859206,393.24896834576657,3,12.363530158996582,3006.480224609375,,,new20pc,needs_redo,24,
36,AU Mic,311.2911826481039,-31.3425000799281,9.714095582245003,281.31903452626165,-360.14771869635376,"3,6,9",7.84343957901001,3540.0,True,4,top100,needs_redo,2,
37,V* AT Mic B,310.4647312153549,-32.437514921328194,9.806576045454502,296.9075913988356,-301.4290811285728,7,9.605487823486328,3111.948974609375,,,new20pc,needs_redo,25,
38,NAME AT Mic AB (Gaia DR3 6792436799475128960),310.464334034236,-32.437036784381455,9.921411824522,246.92898678851384,-417.19484095650307,7,9.575837135314941,3000,False,0,top100,needs_redo,29,
39,BD+05  3409,262.59483404601906,5.547410099313729,10.116962138249308,29.738576040378977,-249.31779175249292,6,8.532959938049316,3754.77587890625,,,new20pc,needs_redo,26,
40,HD  17925,43.13567823945298,-12.770554604772986,10.360542597109934,397.3526395344037,-189.2811721142515,8,5.812265396118164,5002.33203125,,,new20pc,needs_redo,27,
41,Wolf 1478,217.7529796815058,-12.297869679498262,10.881838377170858,-408.1044787325877,-398.6949525305071,7,10.667789459228516,,,,new20pc,needs_redo,28,
42,G   3-14,25.832196670357842,4.318255356429924,11.324262583704577,-422.4133313786974,-765.0324158439888,9,9.907381057739258,3452.291015625,,,new20pc,needs_redo,29,
43,L  802-6,44.543868419797654,-12.882602840627078,11.499879425938682,274.154354631563,539.5078911804316,8,11.579974174499512,3154.64306640625,,,new20pc,needs_redo,30,
44,CD-60  7821,329.90241321791643,-59.75337286630774,11.552505628687795,886.0460533740757,-125.52952181234144,3,8.917240142822266,3435.03271484375,,,new20pc,needs_redo,31,
45,* iot Peg,331.7542260532072,25.34522096646813,11.90400294014709,295.4762646451181,27.441697940510274,3,3.6638712882995605,6316.10205078125,,,new20pc,needs_redo,32,
46,* gam Vir,190.41242708810614,-1.4490230625523142,12.020173090740299,-605.1760034503509,85.70058806691729,"6,7",3.4332993030548096,6740.17919921875,,,new20pc,needs_redo,33,
47,HR 1010 (Gaia DR3 4722135642226902656),49.56622620807744,-62.5034842270098,12.03939579583873,1331.0270879085913,647.7253950157487,"6,7",5.07960844039917,5765.099609375,False,0,top100,needs_redo,14,
48,LP  292-67,5.128239996638605,33.08128045387165,12.259099117031226,1075.6069044786457,-863.6676685094403,7,13.935160636901855,2833.72705078125,,,new20pc,needs_redo,34,
49,Wolf  940,326.6718481188171,-0.1755173375144743,12.38575950158199,769.3658856002737,-505.6819875388906,4,11.310232162475586,,,,new20pc,needs_redo,35,
50,TRAPPIST-1,346.62652162764437,-5.043528319429532,12.46691341544997,930.7875225817781,-479.0375409528857,"3,6,7",15.622553825378418,2566.0,True,7,top100,needs_redo,5,
51,LP  649-72,33.554613532263986,-3.96280045849318,12.491449374144889,509.6376794718519,-155.81283955539283,7,14.148208618164062,,,,new20pc,needs_redo,36,
52,HD 69830,124.60104883936589,-12.63656179358332,12.56923231677139,278.7903645043099,-987.8286619313131,6,5.755219459533691,5373.0654296875,True,3,top100,needs_redo,33,
53,G  85-19,72.71521105645311,22.1207568905776,12.65203542249354,628.8284125619208,-425.4448762416827,7,13.33220386505127,2941.499755859375,,,new20pc,needs_redo,37,
54,CD-38 10980,245.8914359505284,-39.22948746474345,12.910813532081397,77.3976910067686,0.3858446568492385,6,11.000399589538574,,,,new20pc,needs_redo,38,
55,LP  639-1,329.2358923841423,-1.89987246889069,13.473442733181916,1280.969881931012,612.1063730915505,4,13.014442443847656,3026.10888671875,,,new20pc,needs_redo,39,
56,1RXS J033609.2+311853,54.03685781019895,31.31038873961227,13.659752670270182,115.3597295257625,-132.3332198036441,6,12.359634399414062,,,,new20pc,needs_redo,40,
57,G  18-49,336.76251116872623,6.825575040979833,13.758651991241756,183.13925999214442,-35.08719448392617,3,11.915672302246094,3014.012451171875,,,new20pc,needs_redo,41,
58,G  44-43,163.05626573325256,5.91912909046471,13.928347896537153,-695.5202745428245,-60.278853068799236,7,13.075429916381836,,,,new20pc,needs_redo,42,
59,LP  411-6,41.64079022240677,16.416972047012635,13.965552785549455,-831.5331881851774,-569.0246394430965,6,14.55251693725586,,,,new20pc,needs_redo,43,
60,BD+19   381,38.97329569548593,20.219260277260023,14.041707823640484,249.83907360754708,-140.33557150909022,6,9.708674430847168,3400.080078125,,,new20pc,needs_redo,44,
61,LP  349-25,6.985243946351337,22.324902794590333,14.128083082528516,392.7166624409269,-186.5883308135825,3,14.962327003479004,,,,new20pc,needs_redo,45,
62,HD 188088,298.573333453915,-23.942897296654756,14.144079800971966,-124.16693865882704,-410.68078672310565,7,5.908112049102783,4769.572265625,,,new20pc,needs_redo,46,
63,HD 188088B,298.5853870969822,-23.946408599564357,14.145627769332485,-126.8833291069842,-407.456278029701,7,13.226322174072266,2956.46337890625,,,new20pc,needs_redo,47,
