star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.16675,10.8337,3.431242e+13,2688.0000,4,coarse,2.8920,4.4252,512,192,0.376218,,,,False,False,duplicate_row,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.16675,10.8439,3.434452e+13,2688.0000,4,coarse,2.8920,4.4252,512,192,0.376218,13CO(2-1),2749.4394,3679.74,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,2.08023,10.4111,3.297368e+13,2712.0000,4,coarse,3.3255,5.0369,512,68,0.134503,CO(2-1),-4405.1856,-5843.55,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,3.36108,16.8234,5.328289e+13,2880.0000,4,coarse,3.4710,4.6070,512,37,0.074074,CS(5-4),-5725.0644,-7151.38,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.3993,12.0096,3.803653e+13,2904.0000,4,coarse,2.7633,4.2247,512,204,0.399610,CS(5-4),-3084.4394,-3821.04,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.05148,10.2669,3.251718e+13,2688.0000,4,coarse,2.1123,4.4538,512,504,0.984405,13CO(2-1),3686.9394,4934.45,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.97454,9.88204,3.129822e+13,2712.0000,4,coarse,2.5429,4.2998,512,351,0.686160,CO(2-1),-4123.9356,-5470.46,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.19549,10.9892,3.480467e+13,2880.0000,4,coarse,3.2463,3.9324,512,60,0.118908,CS(5-4),-5709.4394,-7131.86,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X1295,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.25117,11.268,3.568795e+13,2904.0000,4,coarse,2.4221,4.1394,512,411,0.803119,CS(5-4),-3428.1894,-4246.88,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.0142,10.0803,3.192624e+13,2688.0000,4,coarse,2.8059,4.4986,512,231,0.452242,13CO(2-1),3640.0644,4871.71,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.89144,9.46611,2.998087e+13,2712.0000,4,coarse,2.9063,4.5754,512,226,0.442495,13CO(2-1),4968.1894,6590.38,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.11063,10.5644,3.345931e+13,2880.0000,4,coarse,3.0935,4.4402,512,148,0.290448,CS(5-4),-4053.1894,-5062.98,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106b646_X19c5,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.20524,11.0381,3.495976e+13,2904.0000,4,coarse,2.4637,4.1876,512,383,0.748538,CS(5-4),-2053.1894,-2543.52,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.61677,8.09125,2.562644e+13,2688.0000,4,coarse,2.9466,5.0836,512,189,0.370370,13CO(2-1),4171.3144,5582.72,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.52542,7.63422,2.417895e+13,2712.0000,4,coarse,2.8226,4.4303,512,219,0.428850,CO(2-1),-4077.0606,-5408.28,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.69645,8.49113,2.689295e+13,2880.0000,4,coarse,2.6730,4.4176,512,324,0.633528,CS(5-4),-5803.1894,-7248.97,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_X1a38,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.76445,8.83164,2.797141e+13,2904.0000,4,coarse,2.5363,5.2362,512,365,0.713450,CS(5-4),-3631.3144,-4498.52,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.73605,8.68815,2.751693e+13,2688.0000,4,coarse,2.7377,4.3021,512,288,0.563353,13CO(2-1),4499.4394,6021.87,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.65051,8.26017,2.616146e+13,2712.0000,4,coarse,2.3421,4.5995,512,427,0.834308,CO(2-1),-3936.4356,-5221.74,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.83164,9.16775,2.903593e+13,2880.0000,4,coarse,2.8337,4.4686,512,264,0.516569,CS(5-4),-5490.6894,-6858.61,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xbe52,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.93448,9.68266,3.066673e+13,2904.0000,4,coarse,2.4506,4.2483,512,419,0.818713,CS(5-4),-3787.5644,-4692.08,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.76864,8.85122,2.803341e+13,2688.0000,4,coarse,3.0932,4.3149,512,127,0.249513,13CO(2-1),3952.5644,5289.95,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106ccd1_Xc4a6,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.67779,8.39668,2.659381e+13,2712.0000,4,coarse,3.1726,4.7106,512,86,0.169591,13CO(2-1),4686.9394,6217.30,False,False,searched,
