star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.16675,10.8337,3.431242e+13,2688.0000,4,coarse,2.8920,4.4252,512,192,0.376218,,,,False,False,duplicate_row,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.16675,10.8439,3.434452e+13,2688.0000,4,coarse,2.8920,4.4252,512,192,0.376218,13CO(2-1),2749.4394,3679.74,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,2.08023,10.4111,3.297368e+13,2712.0000,4,coarse,3.3255,5.0369,512,68,0.134503,CO(2-1),-4405.1856,-5843.55,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,3.36108,16.8234,5.328289e+13,2880.0000,4,coarse,3.4710,4.6070,512,37,0.074074,CS(5-4),-5725.0644,-7151.38,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X106a1f1_X6a0c,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.3993,12.0096,3.803653e+13,2904.0000,4,coarse,2.7633,4.2247,512,204,0.399610,CS(5-4),-3084.4394,-3821.04,False,False,searched,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,2.04705,10.2457,6.402275e+13,2688.0000,4,coarse,3.0588,4.1255,512,108,0.212476,13CO(2-1),3124.4394,4181.62,False,False,searched,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.96647,9.84253,6.150372e+13,2712.0000,4,coarse,4.3980,4.3819,512,0,0.001949,13CO(2-1),4921.3144,6528.20,False,True,searched,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,2.10339,10.5292,6.579478e+13,2880.0000,4,coarse,2.0875,3.9928,512,490,0.957115,CS(5-4),-5850.0644,-7307.52,False,False,searched,
NAME Barnards star,NAME Barnards star,6,A002_Xfdf45f_X478e,1.8282,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,2.2015,11.0206,6.886502e+13,2904.0000,4,coarse,2.4507,4.1266,512,410,0.801170,CS(5-4),-2287.5644,-2833.86,False,False,searched,
Wolf  359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.54984,7.75641,8.412407e+13,2688.0000,4,coarse,2.5857,4.5959,512,337,0.658869,13CO(2-1),3311.9394,4432.56,False,False,searched,
Wolf  359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.44358,7.22474,7.835772e+13,2712.0000,4,coarse,2.8452,4.4178,512,202,0.395712,CO(2-1),-5030.1856,-6672.62,False,False,searched,
Wolf  359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.59738,7.99541,8.671614e+13,2880.0000,4,coarse,2.4047,4.5355,512,412,0.805068,CS(5-4),-4412.5644,-5511.89,False,False,searched,
Wolf  359,Wolf  359,6,A002_Xfdb69b_X667a,2.4086,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.67713,8.39473,9.104713e+13,2904.0000,4,coarse,3.0875,4.4167,512,136,0.267057,CS(5-4),-2584.4394,-3201.63,False,False,searched,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,92.127387,93.861762,15625000.0000,1750000000.0,344.74,,0.383416,1.91708,2.555591e+13,1115.9349,2,coarse,2.5510,4.4634,512,254,0.497076,,,,False,False,duplicate_row,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,92.127387,93.861762,15625000.0000,1750000000.0,344.74,,0.383416,1.98624,2.647781e+13,1115.9349,2,coarse,2.5510,4.4634,512,254,0.497076,HCO+(1-0),4407.1375,14207.57,False,False,searched,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,94.064887,95.799262,15625000.0000,1750000000.0,344.74,,0.385797,2.00155,2.668201e+13,1139.1849,2,coarse,2.8909,4.8067,512,111,0.218324,HCO+(1-0),5844.6375,18457.18,False,False,searched,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,104.127387,105.861762,15625000.0000,1750000000.0,344.74,,0.419594,2.19492,2.925972e+13,1259.9349,2,coarse,3.2521,4.2428,512,41,0.081871,CN(1-0),-7707.3625,-22006.94,False,False,searched,
alf CMa B,alf CMa B,3,A002_Xc99ad7_X348,2.6703,106.127387,107.861762,15625000.0000,1750000000.0,344.74,,0.439966,2.30549,3.073366e+13,1283.9349,2,coarse,2.2319,4.3941,512,379,0.740741,CN(1-0),-6426.1125,-18005.59,False,False,searched,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,142.127387,143.861762,15625000.0000,1750000000.0,344.74,,0.347287,1.73643,2.314779e+13,1715.9349,2,coarse,2.0798,3.9469,512,432,0.844055,,,,False,False,duplicate_row,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,142.127387,143.861762,15625000.0000,1750000000.0,344.74,,0.347287,1.9024,2.536029e+13,1715.9349,2,coarse,2.0798,3.9469,512,432,0.844055,CO(1-0),27059.5125,56731.09,False,False,searched,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,144.064887,145.799262,15625000.0000,1750000000.0,344.74,,0.320287,1.75888,2.344699e+13,1739.1849,2,coarse,3.0530,4.6225,512,70,0.138402,CO(1-0),29700.1375,61434.83,False,False,searched,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,154.127387,155.861762,15625000.0000,1750000000.0,344.74,,0.351965,1.95906,2.611551e+13,1859.9349,2,coarse,2.6477,4.7707,512,192,0.376218,CO(1-0),39903.2625,77181.39,False,False,searched,
alf CMa B,alf CMa B,4,A002_Xcc626d_X579,2.6703,156.127387,157.861762,15625000.0000,1750000000.0,344.74,,0.398218,2.22269,2.962989e+13,1883.9349,2,coarse,2.5570,4.5643,512,237,0.463938,CO(1-0),41653.2625,79539.91,False,False,searched,
alf CMa B,alf CMa B,5,A002_Xd0fb35_X90dc,2.6703,195.127387,196.861762,15625000.0000,1750000000.0,344.74,,0.522396,2.61198,3.481938e+13,2351.9349,2,coarse,2.6385,4.8985,512,203,0.397661,,,,False,False,duplicate_row,
