window,band,chanw_kHz,phi,realisation,peak_unsmoothed,peak_smoothed,unit_channel_reference,hanning_only_ratio,factor
A002_Xc66ce1_X1345_spw0,7,488.28,0.5,5,19.8406,14.7815,39.6812,1.3423,2.6845
A002_Xc66ce1_X1345_spw0,7,488.28,0.5,6,20.208,14.9744,40.416,1.3495,2.699
A002_Xc66ce1_X1345_spw0,7,488.28,0.5,7,54.5956,40.2689,109.1911,1.3558,2.7115
A002_Xc66ce1_X1345_spw0,7,488.28,0.5,8,19.7952,14.6769,39.5904,1.3487,2.6975
A002_Xc66ce1_X1345_spw0,7,488.28,0.5,9,19.8401,14.7848,39.6803,1.3419,2.6839
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,0,39.9463,19.8455,39.9463,2.0129,2.0129
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,1,39.9008,19.8025,39.9008,2.0149,2.0149
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,2,39.929,19.8025,39.929,2.0164,2.0164
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,3,39.9167,19.727,39.9167,2.0235,2.0235
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,4,39.9062,19.7492,39.9062,2.0206,2.0206
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,5,39.9318,19.8074,39.9318,2.016,2.016
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,6,39.9135,19.7278,39.9135,2.0232,2.0232
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,7,39.8898,19.7293,39.8898,2.0219,2.0219
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,8,39.8713,19.7572,39.8713,2.0181,2.0181
A002_Xc6b674_X23f2_spw0,7,488.28,0.0,9,39.9167,19.817,39.9167,2.0143,2.0143
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,0,34.5782,18.1895,39.5179,1.901,2.1726
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,1,34.8879,18.5565,39.8719,1.8801,2.1487
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,2,34.758,18.3894,39.7235,1.8901,2.1601
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,3,34.8317,18.4329,39.8076,1.8896,2.1596
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,4,34.8532,18.4699,39.8322,1.887,2.1566
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,5,34.8719,18.5246,39.8536,1.8825,2.1514
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,6,34.8897,18.5593,39.8739,1.8799,2.1485
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,7,34.8472,18.4714,39.8254,1.8865,2.1561
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,8,34.8879,18.5565,39.8719,1.8801,2.1487
A002_Xc6b674_X23f2_spw0,7,488.28,0.125,9,34.8275,18.4033,39.8028,1.8925,2.1628
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,0,29.8344,17.2314,39.7792,1.7314,2.3085
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,1,29.7503,17.1405,39.6671,1.7357,2.3142
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,2,29.8499,17.1874,39.7999,1.7367,2.3156
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,3,29.881,17.2408,39.8413,1.7332,2.3109
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,4,29.8207,17.2389,39.7609,1.7298,2.3065
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,5,29.5647,16.916,39.4196,1.7477,2.3303
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,6,29.8995,17.319,39.866,1.7264,2.3019
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,7,29.8779,17.2863,39.8372,1.7284,2.3046
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,8,29.8353,17.2598,39.7805,1.7286,2.3048
A002_Xc6b674_X23f2_spw0,7,488.28,0.25,9,29.9073,17.3467,39.8764,1.7241,2.2988
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,0,24.8048,15.9658,39.6876,1.5536,2.4858
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,1,24.8291,15.9128,39.7265,1.5603,2.4965
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,2,24.8653,15.9595,39.7845,1.558,2.4928
A002_Xc6b674_X23f2_spw0,7,488.28,0.375,3,24.8061,15.8994,39.6898,1.5602,2.4963
