window,band,chanw_kHz,phi,realisation,peak_unsmoothed,peak_smoothed,unit_channel_reference,hanning_only_ratio,factor
A002_X1207c39_X9417_spw1,7,244.14,0.5,3,22.2278,16.4242,44.4557,1.3534,2.7067
A002_X1207c39_X9417_spw1,7,244.14,0.5,4,21.5487,15.9749,43.0975,1.3489,2.6978
A002_X1207c39_X9417_spw1,7,244.14,0.5,5,19.7418,14.5806,39.4837,1.354,2.708
A002_X1207c39_X9417_spw1,7,244.14,0.5,6,21.6973,16.1251,43.3946,1.3456,2.6911
A002_X1207c39_X9417_spw1,7,244.14,0.5,7,19.7113,14.6355,39.4226,1.3468,2.6936
A002_X1207c39_X9417_spw1,7,244.14,0.5,8,19.8073,14.7361,39.6146,1.3441,2.6883
A002_X1207c39_X9417_spw1,7,244.14,0.5,9,19.7136,14.6249,39.4272,1.3479,2.6959
A002_X1207c39_X9417_spw2,7,244.14,0.0,0,39.878,19.6987,39.878,2.0244,2.0244
A002_X1207c39_X9417_spw2,7,244.14,0.0,1,39.9021,19.7525,39.9021,2.0201,2.0201
A002_X1207c39_X9417_spw2,7,244.14,0.0,2,39.8558,19.6687,39.8558,2.0264,2.0264
A002_X1207c39_X9417_spw2,7,244.14,0.0,3,39.8818,19.7469,39.8818,2.0196,2.0196
A002_X1207c39_X9417_spw2,7,244.14,0.0,4,39.9146,19.8122,39.9146,2.0146,2.0146
A002_X1207c39_X9417_spw2,7,244.14,0.0,5,39.8466,19.7004,39.8466,2.0226,2.0226
A002_X1207c39_X9417_spw2,7,244.14,0.0,6,39.8968,19.7716,39.8968,2.0179,2.0179
A002_X1207c39_X9417_spw2,7,244.14,0.0,7,39.8863,19.7894,39.8863,2.0155,2.0155
A002_X1207c39_X9417_spw2,7,244.14,0.0,8,39.7111,19.5326,39.7111,2.0331,2.0331
A002_X1207c39_X9417_spw2,7,244.14,0.0,9,39.8601,19.6914,39.8601,2.0242,2.0242
A002_X1207c39_X9417_spw2,7,244.14,0.125,0,34.7826,18.37,39.7515,1.8934,2.1639
A002_X1207c39_X9417_spw2,7,244.14,0.125,1,34.7127,18.2895,39.6716,1.898,2.1691
A002_X1207c39_X9417_spw2,7,244.14,0.125,2,34.7903,18.3436,39.7603,1.8966,2.1675
A002_X1207c39_X9417_spw2,7,244.14,0.125,3,34.8788,18.5445,39.8615,1.8808,2.1495
A002_X1207c39_X9417_spw2,7,244.14,0.125,4,34.8043,18.3801,39.7764,1.8936,2.1641
A002_X1207c39_X9417_spw2,7,244.14,0.125,5,34.6381,18.2702,39.5864,1.8959,2.1667
A002_X1207c39_X9417_spw2,7,244.14,0.125,6,34.842,18.4937,39.8194,1.884,2.1531
A002_X1207c39_X9417_spw2,7,244.14,0.125,7,34.8595,18.4635,39.8395,1.888,2.1577
A002_X1207c39_X9417_spw2,7,244.14,0.125,8,34.8798,18.5385,39.8626,1.8815,2.1503
A002_X1207c39_X9417_spw2,7,244.14,0.125,9,34.8085,18.3921,39.7812,1.8926,2.1629
A002_X1207c39_X9417_spw2,7,244.14,0.25,0,29.7476,17.1595,39.6634,1.7336,2.3115
A002_X1207c39_X9417_spw2,7,244.14,0.25,1,29.7192,17.0598,39.6256,1.7421,2.3227
A002_X1207c39_X9417_spw2,7,244.14,0.25,2,29.8177,17.1939,39.757,1.7342,2.3123
A002_X1207c39_X9417_spw2,7,244.14,0.25,3,29.7359,17.0931,39.6479,1.7396,2.3195
A002_X1207c39_X9417_spw2,7,244.14,0.25,4,29.7745,17.166,39.6994,1.7345,2.3127
A002_X1207c39_X9417_spw2,7,244.14,0.25,5,29.8429,17.2645,39.7906,1.7286,2.3048
A002_X1207c39_X9417_spw2,7,244.14,0.25,6,29.7253,17.1057,39.6337,1.7377,2.317
A002_X1207c39_X9417_spw2,7,244.14,0.25,7,29.8348,17.2552,39.7797,1.729,2.3054
A002_X1207c39_X9417_spw2,7,244.14,0.25,8,29.826,17.2168,39.768,1.7324,2.3098
A002_X1207c39_X9417_spw2,7,244.14,0.25,9,29.7604,17.1577,39.6805,1.7345,2.3127
A002_X1207c39_X9417_spw2,7,244.14,0.375,0,24.5936,15.7829,39.3497,1.5582,2.4932
A002_X1207c39_X9417_spw2,7,244.14,0.375,1,24.7841,15.9484,39.6545,1.554,2.4864
A002_X1207c39_X9417_spw2,7,244.14,0.375,2,24.7527,15.9188,39.6044,1.5549,2.4879
A002_X1207c39_X9417_spw2,7,244.14,0.375,3,24.8082,15.9858,39.6931,1.5519,2.483
A002_X1207c39_X9417_spw2,7,244.14,0.375,4,24.7433,15.9202,39.5893,1.5542,2.4867
A002_X1207c39_X9417_spw2,7,244.14,0.375,5,24.7,15.8243,39.52,1.5609,2.4974
A002_X1207c39_X9417_spw2,7,244.14,0.375,6,24.6664,15.7822,39.4662,1.5629,2.5007
A002_X1207c39_X9417_spw2,7,244.14,0.375,7,24.6781,15.833,39.485,1.5587,2.4938
A002_X1207c39_X9417_spw2,7,244.14,0.375,8,24.8433,16.0376,39.7493,1.5491,2.4785
A002_X1207c39_X9417_spw2,7,244.14,0.375,9,24.8302,16.0257,39.7284,1.5494,2.479
A002_X1207c39_X9417_spw2,7,244.14,0.5,0,19.7299,14.6356,39.4599,1.3481,2.6962
A002_X1207c39_X9417_spw2,7,244.14,0.5,1,19.7679,14.6619,39.5359,1.3482,2.6965
A002_X1207c39_X9417_spw2,7,244.14,0.5,2,21.9048,16.2032,43.8097,1.3519,2.7038
A002_X1207c39_X9417_spw2,7,244.14,0.5,3,21.4225,15.9082,42.8451,1.3466,2.6933
A002_X1207c39_X9417_spw2,7,244.14,0.5,4,20.8049,15.4398,41.6098,1.3475,2.695
A002_X1207c39_X9417_spw2,7,244.14,0.5,5,22.2459,16.5407,44.4917,1.3449,2.6898
A002_X1207c39_X9417_spw2,7,244.14,0.5,6,19.6441,14.5301,39.2881,1.352,2.7039
A002_X1207c39_X9417_spw2,7,244.14,0.5,7,20.7525,15.3593,41.5051,1.3511,2.7023
A002_X1207c39_X9417_spw2,7,244.14,0.5,8,20.327,15.0227,40.6541,1.3531,2.7062
A002_X1207c39_X9417_spw2,7,244.14,0.5,9,19.6974,14.5642,39.3948,1.3525,2.7049
A002_X1207c39_X9417_spw3,7,244.14,0.0,0,39.8338,19.6202,39.8338,2.0303,2.0303
