trial,target,window,band,chanw_Hz,klass,n_int,n_chan,inj_chan,amp_sigma,dwell,realisation,sigma_per_int,recovered_snr,peak_chan,detected
35,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,2,0.1,5,0.003896629928477341,0.2325808495667772,45,False
36,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,1.0,0,0.003896629928477341,19.677699389248904,64,True
37,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,1.0,1,0.003896629928477341,19.677699389248904,64,True
38,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,1.0,2,0.003896629928477341,19.677699389248904,64,True
39,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,1.0,3,0.003896629928477341,19.677699389248904,64,True
40,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,1.0,4,0.003896629928477341,19.677699389248904,64,True
41,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,1.0,5,0.003896629928477341,19.677699389248904,64,True
42,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.75,0,0.003896629928477341,14.842546686533744,64,True
43,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.75,1,0.003896629928477341,14.80800528391799,64,True
44,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.75,2,0.003896629928477341,14.74941718481224,64,True
45,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.75,3,0.003896629928477341,14.73979847128398,64,True
46,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.75,4,0.003896629928477341,15.133868572478214,64,True
47,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.75,5,0.003896629928477341,15.015836753840142,64,True
48,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.5,0,0.003896629928477341,9.46313446112105,64,True
49,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.5,1,0.003896629928477341,9.686214661198642,64,True
50,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.5,2,0.003896629928477341,9.665403315944648,64,True
51,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.5,3,0.003896629928477341,9.495158791728308,64,True
52,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.5,4,0.003896629928477341,9.643855211301943,64,True
53,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.5,5,0.003896629928477341,9.341775760057883,64,True
54,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.4,0,0.003896629928477341,7.477969135934049,64,True
55,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.4,1,0.003896629928477341,7.488010019236445,64,True
56,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,3,0.4,2,0.003896629928477341,7.571838442764888,64,True
